# Producenci szczepionek (id | nazwa | dzienna produkcja)
0 | Hegmann Inc | 296
1 | Russel-Flatley | 439
2 | Runolfsson Steuber and Lakin | 708
3 | Hirthe PLC | 56
4 | Wolf-Huels | 561
5 | Farrell Ltd | 689
6 | Keebler Schmidt and Fahey | 183
7 | Huel Raynor and Wunsch | 80
8 | Rolfson Group | 309
9 | Lesch-Spinka | 679
# Apteki (id | nazwa | dzienne zapotrzebowanie)
0 | Cremin Herman and Beatty | 48
1 | Labadie Mante and Hackett | 183
2 | Bednar Welch and Baumbach | 212
3 | Moen Marks and Schaefer | 105
# Połączenia producentów i aptek (id producenta | id apteki | dzienna maksymalna liczba dostarczanych szczepionek | koszt szczepionki [zł] )
0 | 0 | 256 | 87.88
0 | 1 | 205 | 99.12
0 | 2 | 288 | 64.85
0 | 3 | 195 | 71.51
1 | 0 | 293 | 75.98
1 | 1 | 294 | 80.04
1 | 2 | 401 | 67.84
1 | 3 | 332 | 61.81
2 | 0 | 576 | 65.43
2 | 1 | 648 | 65.24
2 | 2 | 608 | 87.16
2 | 3 | 486 | 81.07
3 | 0 | 30 | 86.62
3 | 1 | 53 | 68.69
3 | 2 | 36 | 93.45
3 | 3 | 55 | 65.07
4 | 0 | 501 | 83.71
4 | 1 | 481 | 74.41
4 | 2 | 508 | 63.69
4 | 3 | 290 | 79.91
5 | 0 | 559 | 76.74
5 | 1 | 459 | 73.15
5 | 2 | 423 | 91.66
5 | 3 | 677 | 89.25
6 | 0 | 177 | 72.1
6 | 1 | 168 | 69.61
6 | 2 | 123 | 73.12
6 | 3 | 103 | 66.65
7 | 0 | 45 | 77.75
7 | 1 | 48 | 82.07
7 | 2 | 53 | 80.14
7 | 3 | 72 | 89.91
8 | 0 | 200 | 80.23
8 | 1 | 172 | 89.88
8 | 2 | 163 | 77.99
8 | 3 | 189 | 71.39
9 | 0 | 546 | 92.17
9 | 1 | 567 | 98.77
9 | 2 | 667 | 67.58
9 | 3 | 348 | 95.44
